time,vind_kias,prs,tmp,alt_msl,curr_w
2889.7915,25.95484,30.08711,15.02287,867.43634,2548.38721
2889.99683,26.68246,30.08712,15.02289,867.42529,2548.38721
2890.20264,27.45293,30.08714,15.02293,867.40277,2548.38721
2890.40283,28.17445,30.08716,15.02297,867.38208,2548.38721
2890.60327,28.8961,30.08718,15.02302,867.36053,2548.36865
2890.79639,29.578,30.08721,15.02306,867.3382,2548.36865
2890.99146,30.2922,30.08723,15.02311,867.315,2548.36865
2891.19629,30.99841,30.08725,15.02316,867.28973,2548.36865
2891.40356,31.75504,30.08727,15.02319,867.27325,2548.36865
2891.60376,32.42941,30.08729,15.02322,867.25659,2548.35034
2891.8042,33.12173,30.08731,15.02325,867.24359,2548.35034
2892.00464,33.80764,30.0873,15.02324,867.24701,2548.35034
2892.2041,34.49511,30.08731,15.02325,867.24268,2548.35034
2892.40479,35.18034,30.08729,15.02323,867.2558,2548.35034
2892.60571,35.84881,30.08727,15.0232,867.27313,2548.33154
2892.80566,36.51942,30.08726,15.02317,867.29004,2548.33154
2893.00146,37.18851,30.08723,15.0231,867.32288,2548.33154
2893.20581,37.85271,30.0872,15.02305,867.34741,2548.33154
2893.40601,38.51226,30.08717,15.02299,867.38098,2548.33154
2893.60156,39.17075,30.08714,15.02293,867.40857,2548.31274
2893.80615,39.82495,30.08711,15.02288,867.43384,2548.31274
2894.0061,40.46532,30.08709,15.02284,867.45428,2548.31274
2894.2063,41.11168,30.08708,15.02281,867.46704,2548.31274
2894.40161,41.75117,30.08707,15.02281,867.47009,2548.31274
2894.60645,42.37791,30.08707,15.0228,867.46838,2548.29443
2894.80176,43.00468,30.08709,15.02283,867.45374,2548.29443
2895.00195,43.62845,30.0871,15.02286,867.44043,2548.29443
2895.20166,44.24936,30.08713,15.02291,867.41412,2548.29443
2895.40674,44.85583,30.08715,15.02295,867.39197,2548.29443
2895.60205,45.45997,30.08718,15.02301,867.36554,2548.29443
2895.80176,46.05334,30.08719,15.02304,867.34863,2548.27563
2896.00635,46.65042,30.08721,15.02307,867.3349,2548.27563
2896.20679,47.2455,30.08722,15.02308,867.3299,2548.27563
2896.40649,47.83318,30.08722,15.02308,867.33099,2548.27563
2896.60693,48.41914,30.08721,15.02306,867.34302,2548.27563
2896.8064,49.00077,30.08719,15.02303,867.35553,2548.25708
